name,address,tel,kind,parking,time,rest,image,latitude,longitude
모루과자점,부산광역시 해운대구 우동1로38번길 11 127호,070-7357-0270,카페 / 디저트,주차공간없음,11:00-18:00,"월,화","https://mp-seoul-image-production-s3.mangoplate.com/786478_1497073259228068.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16566477,129.1580274
비비식당,부산광역시 해운대구 달맞이길 239-16,051-746-0705,카페 / 디저트,주차공간없음,11:00-22:00,월,"https://mp-seoul-image-production-s3.mangoplate.com/697822_1512918315067750.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16462421,129.1846669
슈발츠발트, 부산광역시 수영구 민락본동로19번길 36-11,0507-1305-6535,카페 / 디저트,주차공간없음,월-금:12:00-21:00 토-일:12:00-22:00,목,"https://mp-seoul-image-production-s3.mangoplate.com/348077/783110_1593414084842_31094?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15860241,129.1266347
전포명가떡집,부산광역시 부산진구 전포대로200번길 13,051-816-5983,카페 / 디저트,주차공간없음,7:30-18:00,일,"https://mp-seoul-image-production-s3.mangoplate.com/28752_1505600007748381.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15485371,129.0663949
블랙업커피,부산광역시 부산진구 서전로10번길 41,051-944-4952,카페 / 디저트,주차공간없음,10:00-23:00,x,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/480690_1479621715114324.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15632113,129.0599692
카페마코토,부산광역시 해운대구 우동1로 42 2F,x,카페 / 디저트,무료주차가능,12:00-21:00,수,"https://mp-seoul-image-production-s3.mangoplate.com/752490_1493718883913545.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16542603,129.1577186
샬롯,부산광역시 부산진구 서전로37번길 20,,카페 / 디저트,,,,"https://mp-seoul-image-production-s3.mangoplate.com/332967/d-ne0pgiwofz1h.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15892945,129.0643399
초량1941,부산광역시 동구 망양로533번길 8,051-462-7774,카페 / 디저트,무료주차가능,11:00-19:00,"월,화","https://mp-seoul-image-production-s3.mangoplate.com/280060/stts1g5et_daft.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.11999907,129.0295412
블랙업커피(해운대점),부산광역시 해운대구 중동2로 16 해운대온천센터 1F,051-809-4952,카페 / 디저트,유료주차가능,05:00-20:00,x,"https://mp-seoul-image-production-s3.mangoplate.com/860940_1540610802020215.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16359711,129.1645474
보성녹차,부산광역시 수영구 수영로394번길 28,051-625-5544,카페 / 디저트,무료주차가능,10:00-22:00,x,"https://mp-seoul-image-production-s3.mangoplate.com/30690/268118_1464836920200_45514?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.14092022,129.1086288
베르크로스터리,부산광역시 부산진구 서전로 58번길 115,051-817-2111,카페 / 디저트,주차공간없음,11:00-21:00,x,"https://mp-seoul-image-production-s3.mangoplate.com/1849566_1607586711835986.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.152926,129.0662509
마루팥빙수단팥죽,부산광역시 해운대구 좌동순환로 473  1F,051-743-9978,카페 / 디저트,주차공간없음,10:00-23:00,,"https://mp-seoul-image-production-s3.mangoplate.com/32946/467240_1464228076498_4768?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.1633568,129.1702483
해운대양과자점,부산광역시 해운대구 우동1로38번가길 20 3F,010-4914-7516,카페 / 디저트,주차공간없음,11:00-22:00,일,"https://mp-seoul-image-production-s3.mangoplate.com/1848207_1607506314182186.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16490399,129.1584984
손목서가,부산광역시 영도구 흰여울길 307,051-8634-0103,카페 / 디저트,주차공간없음,금-화:11:00-19:00 수-목:13:00-19:00,"토,일,월","https://mp-seoul-image-production-s3.mangoplate.com/363480/858630_1609060972615_1690807280?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.07774354,129.0461383
이너프,부산광역시 부산진구 서전로37번길 26,051-803-8748,카페 / 디저트,주차공간없음,월:12:00-19:00 수-일:12:00-21:00,화,"https://mp-seoul-image-production-s3.mangoplate.com/722536_1501987170573619.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15918705,129.0640204
하라네코,부산광역시 해운대구 우동1로38번길 11,050-6766-1006,카페 / 디저트,주차공간없음,10:00-20:00,월,"https://mp-seoul-image-production-s3.mangoplate.com/182740_1611323067404076.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.16569985,129.1580596
녹아내려,부산광역시 수영구 수영로554번가길 12,051-995-7549,카페 / 디저트,주차공간없음,13:00-21:00,월,"https://mp-seoul-image-production-s3.mangoplate.com/686893_1616510677904055.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15434392,129.1148941
희와제과,부산광역시 부산진구 전포대로 246번길 26,051-911-3603,베이커리,주차공간없음,13:00-18:00,"화,수 ","https://mp-seoul-image-production-s3.mangoplate.com/47875_1550711023047547.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.15865867,129.0656786
모모스커피,부산광역시 해운대구 센텀4로 15 신세계 센텀시티몰 1F,051-745-1427,카페 / 디저트,유료주차가능,10:30-22:00,백화점 휴일,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/420714_1464162920964211.jpg?fit=around|359:240&amp;crop=359:240;*,*&amp;output-format=jpg&amp;output-quality=80",35.17022306,129.1283255
